,term,term_id,variant_of,variant_of_id,plural_of,plural_of_id,romanization_of,romanization_of_id,language_id,language,malignant_meaning,benign_meaning,is_about_nationality,nationalities,is_about_ethnicity,athnicities,is_about_religion,religions,is_about_gender,genders,is_about_orientation,orientations,is_about_disability,is_about_class,is_archaic,offensiveness,created_on,updated_on
1434,tyncar,prUt4KMcu,tinker,ffDPnZymN,,,,,eng,English,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,N,['PH'],Y,"['Arabs', 'Pakistani', 'India']",N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2017-03-09 12:24:46,-0001-11-30 05:17:32
1435,tynkare,FhQtejfha,tinker,ffDPnZymN,,,,,eng,English,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,N,['PH'],Y,"['Arabs', 'Pakistani', 'India']",N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2018-09-06 22:50:05,-0001-11-30 05:17:32
1436,tynkard,VVUjpLnZY,tinker,ffDPnZymN,,,,,eng,English,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,N,['PH'],Y,"['Arabs', 'Pakistani', 'India']",N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2018-09-06 23:00:04,-0001-11-30 05:17:32
1437,tynekere,GVvimownT,tinker,ffDPnZymN,,,,,eng,English,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,N,['PH'],Y,"['Arabs', 'Pakistani', 'India']",N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2018-09-06 23:40:04,-0001-11-30 05:17:32
1438,Ubangee,PK7UnbeGw,Ubangi,faLWNqMpk,,,,,eng,English,"A black person, particularly a black woman, from the Ubangi people of Africa",,N,['PH'],Y,"['Arabs', 'Pakistani', 'India']",N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2013-05-14 19:46:06,-0001-11-30 05:17:32
1439,WASPy,Z8GJbHcVL,WASP,rsKqeRghi,,,,,eng,English,"Having the stereotypical characteristics of a white, anglo-saxon protestant",,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Moderately offensive,2018-11-01 20:38:48,-0001-11-30 05:17:32
1440,border hopper,LiGbLtMyv,wetback,LJETWFEpU,,,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2013-05-22 04:39:12,-0001-11-30 05:17:32
1441,border jumper,4tN9jLCTW,wetback,LJETWFEpU,,,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2013-06-17 18:11:28,-0001-11-30 05:17:32
1442,border bunny,N7DBbTkgq,wetback,LJETWFEpU,,,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2013-06-18 00:57:58,-0001-11-30 05:17:32
1443,trash,FfricTaCT,white trash,uokWoALuF,,,,,eng,English,A Caucasian of low class or limited income.,Garbage,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,Y,N,Significantly offensive,2013-05-05 13:48:35,-0001-11-30 05:17:32
1444,trailer park trash,muVfRuRhX,white trash,uokWoALuF,,,,,eng,English,A Caucasian of low class or limited income.,,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,Y,N,Very offensive,2013-05-05 21:47:03,-0001-11-30 05:17:32
1445,trailer trash,T2owcmsrP,white trash,uokWoALuF,,,,,eng,English,A Caucasian of low class or limited income.,,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,Y,N,Very offensive,2013-06-22 04:12:06,-0001-11-30 05:17:32
1446,whitie,HsEZVxUYa,whitey,XDKDhqosK,,,,,eng,English,A Caucasian.,,N,['PH'],Y,['European'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Significantly offensive,2020-01-05 15:20:49,-0001-11-30 05:17:32
1447,wopspeak,rLefBrqfy,wop,DQpht6HXa,,,,,eng,English,The Italian language,,N,['PH'],Y,['Italian'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:38:52,-0001-11-30 05:17:32
1448,Yankee,CMqiuKyVT,Yank,xmJGRCTJD,,,,,eng,English,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,,Y,['US'],N,['Italian'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2013-06-21 10:20:16,-0001-11-30 05:17:32
1449,red bone,GTXET1qBH,yellow bone,fqVjxtda4,,,,,eng,English,[1] A black female with light skin. [2] A black female of mixed heritage.,,N,['US'],Y,['Italian'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Significantly offensive,2013-05-04 12:46:05,-0001-11-30 05:17:32
1450,zhyd,B3UdWLnZD,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,,2019-03-17 17:38:58,-0001-11-30 05:17:32
1451,zhid,jgZBmWaHv,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,,2019-03-17 17:41:00,-0001-11-30 05:17:32
1452,zhydovka,afiqZVLQJ,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,,2019-03-17 17:42:01,-0001-11-30 05:17:32
1453,zhidovka,wJHoUVnVQ,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,,2019-03-17 17:42:51,-0001-11-30 05:17:32
1454,yobbo,xkCRQeXfi,yob,bHjuLrPsd,,,,,eng,English,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",,N,['US'],N,['Jews'],N,['Christianity'],N,['female'],N,['homosexual'],N,Y,N,Very offensive,2013-07-04 23:25:02,-0001-11-30 05:17:32
1455,zipperhead,ADZYXTRDH,zip,M4LmdKJ8e,,,,,eng,English,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,N,['US'],Y,['Korean'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,Y,Extremely offensive,2013-04-26 03:04:43,-0001-11-30 05:17:32
1456,zippohead,VwUsiEihj,zip,M4LmdKJ8e,,,,,eng,English,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,N,['US'],Y,['Korean'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,Y,Extremely offensive,2013-12-25 08:34:04,-0001-11-30 05:17:32
1457,brown invader,rmcxmYFE4,black invader,mtnbZpEqF,,,,,eng,English,Accusative term for refugees or immigrants of darker complexion,,N,['US'],Y,['Korean'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2018-11-01 20:33:48,-0001-11-30 05:17:32
1458,chimped-out,QGh4ppjHj,chimp-out,jEYpru4ps,,,,,eng,English,Acts of aggression commited by a black person,,N,['US'],Y,['African American'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:33:56,-0001-11-30 05:17:32
1459,cholo chasing,NWwxgdide,cholo chaser,npk4TYUqd,,,,,eng,English,A person who engages in relationships with Hispanic individuals,,N,['US'],Y,['Hispanic'],N,['Christianity'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:33:58,-0001-11-30 05:17:32
1460,durka durka,CVsLJYwDX,derka derka,RwMQGoPXG,,,,,eng,English,,,N,['US'],Y,['Arabs'],Y,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-02-28 19:52:03,-0001-11-30 05:17:32
1461,durka durkas,UrbweVzxW,derka derka,RwMQGoPXG,durka durka,CVsLJYwDX,,,eng,English,,,N,['US'],Y,['Arabs'],Y,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-02-28 19:52:52,-0001-11-30 05:17:32
1462,dindu,ZNgN8pfWm,dindu nuffin,GZFQNcbN3,,,,,eng,English,"A derogatory contraction of the words ""didn't do,"" popularized as a slur against black people as a mockery of regional pronunciation",,N,['US'],Y,['African American'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:34:08,-0001-11-30 05:17:32
1463,gasher,AoTzyGvFH,gash,tQcztpkwy,,,,,eng,English,,,N,['US'],N,['African American'],N,['Islam'],Y,['female'],N,['homosexual'],N,N,N,,2019-02-28 20:08:21,-0001-11-30 05:17:32
1464,gaylord,wcipXXc8E,gay,TTyiUmexG,,,,,eng,English,A homosexual person,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,Y,Very offensive,2018-11-01 20:34:18,-0001-11-30 05:17:32
1465,ghey,nbrywwext,gay,TTyiUmexG,,,,,eng,English,An intentional misspelling of 'gay' meant to avoid censorship and mock homosexual behaviour ,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Very offensive,2018-11-01 20:34:19,-0001-11-30 05:17:32
1466,gey,xxuK4jwco,gay,TTyiUmexG,,,,,eng,English,,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Very offensive,2019-03-17 18:31:10,-0001-11-30 05:17:32
1467,gheys,XRWVUjMBQ,gay,TTyiUmexG,ghey,nbrywwext,,,eng,English,,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Very offensive,2019-02-28 20:10:33,-0001-11-30 05:17:32
1468,gimpy,KHvNRsFRF,gimp,peDkMbaMv,,,,,eng,English,Having the tendendies of a disabled person,,N,['US'],N,['African American'],N,['Islam'],N,['female'],N,['homosexual'],Y,N,N,Very offensive,2018-11-01 20:34:20,-0001-11-30 05:17:32
1469,gypsi,PqvqmnwQY,gypsy,mmRiFmbXT,,,,,eng,English,,,N,['US'],Y,['Romani'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2019-04-08 14:27:52,-0001-11-30 05:17:32
1470,jipsi,eo9sxnsUr,gypsy,mmRiFmbXT,,,,,eng,English,,,N,['US'],Y,['Romani'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Significantly offensive,2019-04-08 14:28:32,-0001-11-30 05:17:32
1471,jew-fucked,PPYJThKFB,jew-fucker,PULHBxJZV,,,,,eng,English,One who has sexual relations with Jews,,N,['US'],Y,['Jews'],Y,['Judaism'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:35:43,-0001-11-30 05:17:32
1472,jewbagg,AgYTJVafX,jewbag,zCEJUkMNR,,,,,eng,English,Intentional misspelling of 'jewbag',,N,['US'],Y,['Jews'],Y,['Judaism'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:35:44,-0001-11-30 05:17:32
1473,jewtarded,n2xbvrHzj,jewtard,AFJciPHrt,,,,,eng,English,The combination of 'jew' and 'retarded',,N,['US'],Y,['Jews'],Y,['Judaism'],N,['female'],N,['homosexual'],Y,N,N,Extremely offensive,2018-11-01 20:35:44,-0001-11-30 05:17:32
1474,muzrat,ic6zszjng,muzzrat,vo47tYsfa,,,,,eng,English,Derogatory portmanteau of Muslim and 'rat',,N,['US'],N,['Jews'],Y,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2021-01-09 21:59:42,-0001-11-30 05:17:32
1475,beaner baby,mPAigepKw,anchor babies,BMgheXMUo,,,,,eng,English,An infant of hispanic descent,,N,['US'],Y,['Hispanic'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:33:38,-0001-11-30 05:17:32
1476,black dagoes,equafWkaA,black dagos,QYFRgPPwN,black dago,uh1WfViuF,,,eng,English,,,Y,['IT'],Y,['Italian'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-02-28 19:18:54,-0001-11-30 05:17:32
1477,gooky eyes,u6kgQ794m,gook eyes,mgXobWTTM,,,,,eng,English,,,N,['IT'],Y,['Asian'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2019-04-08 14:19:16,-0001-11-30 05:17:32
1478,gook eyed,NrdugocKi,gook eyes,mgXobWTTM,,,,,eng,English,,,N,['IT'],Y,['Asian'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2019-04-08 14:20:12,-0001-11-30 05:17:32
1479,gypoes,EZRqTmNYw,gypos,jBpggiKWv,gypo,EvjUvTKWY,,,eng,English,,,N,['IT'],Y,['Romani'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-04-08 14:25:36,-0001-11-30 05:17:32
1480,gyppoes,HcY1hiqeH,gypos,jBpggiKWv,gyppo,QnBBQgyZv,,,eng,English,,,N,['IT'],Y,['Romani'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-04-08 14:26:23,-0001-11-30 05:17:32
1481,pickaninnies,RGCXtVCQj,pickaninnys,NwGoktieL,,,,,eng,English,,,N,['IT'],Y,['African American'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-01-09 18:55:57,-0001-11-30 05:17:32
1482,piccaninny,YJqQsemeY,picaninny,ZkPdLedfP,,,,,eng,English,,,N,['IT'],Y,['African American'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-01-09 18:52:47,-0001-11-30 05:17:32
1483,pickinniny,YtZWuMMnn,picaninny,ZkPdLedfP,,,,,eng,English,,,N,['IT'],Y,['African American'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-01-09 18:53:48,-0001-11-30 05:17:32
1484,picaninnys,RjrKR4BYZ,picaninnies,QHVhYfwLo,,,,,eng,English,,,N,['IT'],Y,['African American'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2019-01-09 18:57:19,-0001-11-30 05:17:32
1485,da goyim know,eET6EXCDX,the goyim know,VwgjUqPyn,,,,,eng,English,,,N,['IT'],Y,['Jews'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-01-14 20:51:22,-0001-11-30 05:17:32
1486,batty bwoy,DRNtXftEW,batty boy,QD4YNtppV,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,,2019-03-17 14:38:04,-0001-11-30 05:17:32
1487,batty man,vMedhAaqc,batty boy,QD4YNtppV,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,,2019-03-17 14:39:50,-0001-11-30 05:17:32
1488,battyman,ZVhbvtBFm,batty boy,QD4YNtppV,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,,2019-03-17 14:49:13,-0001-11-30 05:17:32
1489,batiman,UrdMuGWZq,batty boy,QD4YNtppV,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,,2019-03-17 14:51:43,-0001-11-30 05:17:32
1490,chi chi bwoy,zWVDFKMAZ,chi chi man,ookEMTUvh,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,,2019-03-17 14:46:09,-0001-11-30 05:17:32
1491,velvet mafia,Vwdmmbemk,gay mafia,yxRmCVsLQ,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Mildly offensive or inoffensive,2019-03-17 15:00:05,-0001-11-30 05:17:32
1492,lavender mafia,bFNvpM4Vo,gay mafia,yxRmCVsLQ,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,,2019-03-17 15:00:51,-0001-11-30 05:17:32
1493,Hoorah Henry,dZWvcMsEE,Hooray Henry,9nUTmDahJ,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],N,['homosexual'],N,Y,N,,2019-03-18 17:52:30,-0001-11-30 05:17:32
1494,Hoorah Henrietta,oHVKQfYAf,Hooray Henrietta,DvaUpoGR4,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],N,['homosexual'],N,Y,N,,2019-03-18 17:56:41,-0001-11-30 05:17:32
1495,arsit,awT4TMdrZ,ars,cXj1CAKAq,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],N,['homosexual'],N,Y,N,,2019-03-18 18:04:48,-0001-11-30 05:17:32
1496,dresiarz,JFvXPhHg2,dres,XMNphDZAD,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],N,['female'],N,['homosexual'],N,Y,N,,2019-03-18 18:30:53,-0001-11-30 05:17:32
1497,Chad Thundercock,PWfBgbZun,Chad,xnp2gxqvb,,,,,eng,English,,,N,['IT'],N,['Jews'],N,['Islam'],Y,['male'],N,['homosexual'],N,N,N,Moderately offensive,2019-03-18 18:56:41,-0001-11-30 05:17:32
1498,border bunnies,yutsV4fu6,,,border bunny,N7DBbTkgq,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,N,['IT'],Y,['Jews'],N,['Islam'],N,['male'],N,['homosexual'],N,N,N,,2018-11-01 20:33:46,-0001-11-30 05:17:32
1499,border hoppers,mLepyLzwj,,,border hopper,LiGbLtMyv,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,N,['IT'],Y,['Jews'],N,['Islam'],N,['male'],N,['homosexual'],N,N,N,,2018-11-01 20:33:46,-0001-11-30 05:17:32
1500,whitie,HsEZVxUYa,whitey,XDKDhqosK,,,,,eng,English,A Caucasian.,,N,,Y,['European'],N,,N,,N,,N,N,N,Significantly offensive,2020-01-05 15:20:49,-0001-11-30 05:17:32
1501,wopspeak,rLefBrqfy,wop,DQpht6HXa,,,,,eng,English,The Italian language,,N,,Y,['Italian'],N,,N,,N,,N,N,N,Extremely offensive,2018-11-01 20:38:52,-0001-11-30 05:17:32
1502,Yankee,CMqiuKyVT,Yank,xmJGRCTJD,,,,,eng,English,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,,Y,['US'],N,['Italian'],N,,N,,N,,N,N,N,Very offensive,2013-06-21 10:20:16,-0001-11-30 05:17:32
1503,red bone,GTXET1qBH,yellow bone,fqVjxtda4,,,,,eng,English,[1] A black female with light skin. [2] A black female of mixed heritage.,,N,['US'],Y,['Italian'],N,,N,,N,,N,N,N,Significantly offensive,2013-05-04 12:46:05,-0001-11-30 05:17:32
1504,zhyd,B3UdWLnZD,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,,N,,N,,N,N,N,,2019-03-17 17:38:58,-0001-11-30 05:17:32
1505,zhid,jgZBmWaHv,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,,N,,N,,N,N,N,,2019-03-17 17:41:00,-0001-11-30 05:17:32
1506,zhydovka,afiqZVLQJ,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,,N,,N,,N,N,N,,2019-03-17 17:42:01,-0001-11-30 05:17:32
1507,zhidovka,wJHoUVnVQ,yid,qPznJVNnG,,,,,eng,English,,,N,['US'],Y,['Jews'],N,,N,,N,,N,N,N,,2019-03-17 17:42:51,-0001-11-30 05:17:32
1508,yobbo,xkCRQeXfi,yob,bHjuLrPsd,,,,,eng,English,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",,N,['US'],N,['Jews'],N,,N,,N,,N,Y,N,Very offensive,2013-07-04 23:25:02,-0001-11-30 05:17:32
1509,zipperhead,ADZYXTRDH,zip,M4LmdKJ8e,,,,,eng,English,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,N,['US'],Y,['Korean'],N,,N,,N,,N,N,Y,Extremely offensive,2013-04-26 03:04:43,-0001-11-30 05:17:32
1510,zippohead,VwUsiEihj,zip,M4LmdKJ8e,,,,,eng,English,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,N,['US'],Y,['Korean'],N,,N,,N,,N,N,Y,Extremely offensive,2013-12-25 08:34:04,-0001-11-30 05:17:32
1511,brown invader,rmcxmYFE4,black invader,mtnbZpEqF,,,,,eng,English,Accusative term for refugees or immigrants of darker complexion,,N,['US'],Y,['Korean'],N,,N,,N,,N,N,N,Very offensive,2018-11-01 20:33:48,-0001-11-30 05:17:32
1512,chimped-out,QGh4ppjHj,chimp-out,jEYpru4ps,,,,,eng,English,Acts of aggression commited by a black person,,N,['US'],Y,['African American'],N,,N,,N,,N,N,N,Extremely offensive,2018-11-01 20:33:56,-0001-11-30 05:17:32
1513,cholo chasing,NWwxgdide,cholo chaser,npk4TYUqd,,,,,eng,English,A person who engages in relationships with Hispanic individuals,,N,['US'],Y,['Hispanic'],N,,N,,N,,N,N,N,Extremely offensive,2018-11-01 20:33:58,-0001-11-30 05:17:32
1514,durka durka,CVsLJYwDX,derka derka,RwMQGoPXG,,,,,eng,English,,,N,['US'],Y,['Arabs'],Y,['Islam'],N,,N,,N,N,N,,2019-02-28 19:52:03,-0001-11-30 05:17:32
1515,durka durkas,UrbweVzxW,derka derka,RwMQGoPXG,durka durka,CVsLJYwDX,,,eng,English,,,N,['US'],Y,['Arabs'],Y,['Islam'],N,,N,,N,N,N,,2019-02-28 19:52:52,-0001-11-30 05:17:32
1516,dindu,ZNgN8pfWm,dindu nuffin,GZFQNcbN3,,,,,eng,English,"A derogatory contraction of the words ""didn't do,"" popularized as a slur against black people as a mockery of regional pronunciation",,N,['US'],Y,['African American'],N,['Islam'],N,,N,,N,N,N,Extremely offensive,2018-11-01 20:34:08,-0001-11-30 05:17:32
1517,gasher,AoTzyGvFH,gash,tQcztpkwy,,,,,eng,English,,,N,['US'],N,['African American'],N,['Islam'],Y,['female'],N,,N,N,N,,2019-02-28 20:08:21,-0001-11-30 05:17:32
1518,gaylord,wcipXXc8E,gay,TTyiUmexG,,,,,eng,English,A homosexual person,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,Y,Very offensive,2018-11-01 20:34:18,-0001-11-30 05:17:32
1519,ghey,nbrywwext,gay,TTyiUmexG,,,,,eng,English,An intentional misspelling of 'gay' meant to avoid censorship and mock homosexual behaviour ,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Very offensive,2018-11-01 20:34:19,-0001-11-30 05:17:32
1520,gey,xxuK4jwco,gay,TTyiUmexG,,,,,eng,English,,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Very offensive,2019-03-17 18:31:10,-0001-11-30 05:17:32
1521,gheys,XRWVUjMBQ,gay,TTyiUmexG,ghey,nbrywwext,,,eng,English,,,N,['US'],N,['African American'],N,['Islam'],N,['female'],Y,['homosexual'],N,N,N,Very offensive,2019-02-28 20:10:33,-0001-11-30 05:17:32
1522,gimpy,KHvNRsFRF,gimp,peDkMbaMv,,,,,eng,English,Having the tendendies of a disabled person,,N,['US'],N,['African American'],N,['Islam'],N,['female'],N,['homosexual'],Y,N,N,Very offensive,2018-11-01 20:34:20,-0001-11-30 05:17:32
1523,gypsi,PqvqmnwQY,gypsy,mmRiFmbXT,,,,,eng,English,,,N,['US'],Y,['Romani'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2019-04-08 14:27:52,-0001-11-30 05:17:32
1524,jipsi,eo9sxnsUr,gypsy,mmRiFmbXT,,,,,eng,English,,,N,['US'],Y,['Romani'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Significantly offensive,2019-04-08 14:28:32,-0001-11-30 05:17:32
1525,jew-fucked,PPYJThKFB,jew-fucker,PULHBxJZV,,,,,eng,English,One who has sexual relations with Jews,,N,['US'],Y,['Jews'],Y,['Judaism'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:35:43,-0001-11-30 05:17:32
1526,jewbagg,AgYTJVafX,jewbag,zCEJUkMNR,,,,,eng,English,Intentional misspelling of 'jewbag',,N,['US'],Y,['Jews'],Y,['Judaism'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:35:44,-0001-11-30 05:17:32
1527,jewtarded,n2xbvrHzj,jewtard,AFJciPHrt,,,,,eng,English,The combination of 'jew' and 'retarded',,N,['US'],Y,['Jews'],Y,['Judaism'],N,['female'],N,['homosexual'],Y,N,N,Extremely offensive,2018-11-01 20:35:44,-0001-11-30 05:17:32
1528,muzrat,ic6zszjng,muzzrat,vo47tYsfa,,,,,eng,English,Derogatory portmanteau of Muslim and 'rat',,N,['US'],N,['Jews'],Y,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2021-01-09 21:59:42,-0001-11-30 05:17:32
1529,beaner baby,mPAigepKw,anchor babies,BMgheXMUo,,,,,eng,English,An infant of hispanic descent,,N,['US'],Y,['Hispanic'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Extremely offensive,2018-11-01 20:33:38,-0001-11-30 05:17:32
1530,black dagoes,equafWkaA,black dagos,QYFRgPPwN,black dago,uh1WfViuF,,,eng,English,,,Y,['IT'],Y,['Italian'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,,2019-02-28 19:18:54,-0001-11-30 05:17:32
1531,gooky eyes,u6kgQ794m,gook eyes,mgXobWTTM,,,,,eng,English,,,N,['IT'],Y,['Asian'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2019-04-08 14:19:16,-0001-11-30 05:17:32
1532,gook eyed,NrdugocKi,gook eyes,mgXobWTTM,,,,,eng,English,,,N,['IT'],Y,['Asian'],N,['Islam'],N,['female'],N,['homosexual'],N,N,N,Very offensive,2019-04-08 14:20:12,-0001-11-30 05:17:32
